id,year,title,abstract,keywords
,2017,Recognising and thwarting transaction and payment laundering,"The internet has facilitated economic growth, new mass retail models and financial inclusion for the under-banked and micro-businesses. At the same time, however, it also enables new avenues of crime. The ease with which goods can be sourced and distributed online has enabled cyber criminals to thrive. Their endeavours are severely compromised, however, when credit card networks and acquirers deny access to payment systems. Criminals have adapted by utilising transaction laundering — the use of online ‘front’ businesses, and payment laundering — the use of alternative payment methods (APMs) with less mature risk policies. While credit card systems have strict rules and processes, APMs like peer-to-peer, e-wallet and money transfer have less robust due diligence and monitoring practices. Perpetrators dubbed ‘payment hustlers’ rotate between different front businesses and different payment methods through trial-and-error until they gain safe passage into the payment system. Banks and payment service providers can secure their operations through both organisational and technological best practices. Furthermore, rigorous due diligence can coexist with a smooth business customer onboarding experience.",alternative payment methods (APMs); cybercrime; e-commerce; fraud; money laundering; transaction laundering
,2017,Did the Target data breach change consumer assessments of payment card security?,"Previous research has found that perceptions of payment security affect consumers’ use of payment instruments. This study tests whether the Target data breach of 2013 had any impact on consumer perceptions of the security of credit and debit cards and/or any impact on consumers’ use of payment cards. Using data from the Survey of Consumer Payment Choice, the study finds that, controlling for possible confounding effects of demographic differences between the two groups, ratings by consumers who assessed the personal information security of debit cards shortly after the breach were lower than ratings by consumers who responded before the breach was reported. For credit cards, there was no difference in the ratings given by consumers who responded to the survey before the breach was reported and the ratings of those who responded after the breach was reported. Based on prior research on the impact of security assessments on payment instrument use, one would expect a small (economically insignificant) decline in debit card use from this lower rating. However, the study finds no statistically or economically significant change in debit card use from 2013 to 2014.",Survey of Consumer Payment Choice; Target; credit card; data breach; debit card; payment card security
,2017,The Federal Reserve and faster payments: ‘Umbrella’ or ‘rails’?,"This paper analyses the responses to the US Federal Reserve’s public consultation on faster payments. It uses an inductive approach to identify emergent issues and stakeholder alignment around two issues: the role of the Federal Reserve in a new payments system and the design of a new payments system. There is little support for a publicly provided faster payments system and the ‘operator’ role of the Federal Reserve is likely to decline with the transition to electronic payments. The private sector views faster payments as a new channel rather than network infrastructure and is hesitant to invest in a new system without a business case. Americans will have to wait until 2018 for same-day payments via their bank accounts and much longer for near real-time payments, meaning the USA will, in this regard, fall further behind many developing and developed countries. Innovation will be limited to the consumer-facing interface and more closedloop networks will emerge in the short term. The coordination failure also leaves more room for firms seeking to disrupt the payment rails.",Federal Reserve; fast payments; immediate funds transfer; near real-time payments; payments systems improvement; same-day ACH
,2017,Central bank money and blockchain: A payments perspective,"Although distributed ledger technology (DLT, aka ‘blockchain’) is associated with high production costs and low capacity, it represents a practical solution for ‘electronic cash’ and a starting point for the innovation of new kinds of transactions in digitised economies. Among other institutions, the European Central Bank is committed to exploring the potential of such new technologies. This paper provides a first reflection of central bank money on blockchain, and evaluates the possible scenarios. It argues that the digitisation of central bank money (backed by trust) via DLT can open new perspectives on a digital economy with efficient and secure market infrastructures, linking new technological concepts with existing benefits.",blockchain; central bank money; distributed ledger technology; interoperability; payment systems
,2017,Demonetisation for changing payment behaviour and building platforms,"Although mobile money is seen as the solution for financial inclusion, some countries have been facing challenges in the adoption of mobile wallet accounts. Slow adoption is linked to the perceived benefit of the mobile wallet, which, among other things, is informed by the cost of adoption. This paper discusses various issues relating to the pricing of mobile payments and how pricing decisions affect consumer adoption of mobile wallets in developing countries. It discusses how the demonetisation of digital payment instruments can positively affect the perceived utility and hence adoption of mobile payment, in addition to the associated network effects and implications for Big Data. It also suggests that FinTechs are the best candidates to demonetise payments. It further explains how mobile wallets can be used as the foundations for applications and services that mobile financial service providers have been unable to provide by themselves.",behaviour change; digital payments; financial inclusion; mobile money; payment behaviour; payment pricing
,2017,Shifting the ticketing paradigm: The role of open standards,"This paper discusses the transit ticketing industry and the challenges it faces to evolve current systems. Providing an overview of the key pressures facing public transport operators, the piece will investigate how single-vendor fare collection systems are increasingly problematic and how the adoption of an open standard can bring new opportunities. The paper investigates how developments in internet of things (IoT), urban mobility and increasingly ‘smart cities’ are forcing transit ticketing to look beyond public transport. The need to develop multi-application solutions and collaborate with adjacent ecosystems, including access control and payments, is crucial. Moreover, it will consider how host card emulation (HCE) technology will be central to effecting this change. This consumer-centric approach will facilitate consumer demand for greater functionality and ease of use, and allow public transport operators to tap into new revenue streams at low initial cost. Readers will learn how open standards are vital for the future of fare collection and the only way to truly realise the full benefits of adopting HCE in transport. The paper will discuss the OSPT Alliance’s market-leading standard, CIPURSE, and its ability to both meet the challenges facing transport operators in the short term and provide scope for future developments and scalable long-term deployments.",AFC; HCE; open standards; ticketing; transit; urban mobility
,2017,The leakage of passwords from home banking sites: A threat to global cyber security?,"E-banking systems rely on browsers and other financial applications to provide a secure service. As this paper shows, however, many e-banking systems fail to provide the requisite level of confidentiality. This paper focuses on vulnerabilities related to the leakage of login information from the client side. It demonstrates that by using forensic techniques and tools, it was possible to acquire login-related data from a number of websites. This proves that important authentication data used in navigation activities remain on disk, posing a clear threat to confidentiality.",bank account leakage data; browser forensic analysis; credentials bank; credentials management; password management; privacy
,2017,Opportunities and challenges for the SEPA Instant Credit Transfer scheme,"The SEPA Instant Credit Transfer scheme created by the European Payments Council and published in November 2016 came into force in November 2017. The scheme entails an innovative, fast and convenient method of payment for an international area that will ultimately encompass over 34 European countries. However, it also brings its share of challenges for payment service providers. This paper highlights the opportunities and difficulties raised by the scheme, and encourages all payment service providers to adhere to it as soon as possible. With the support of the European payment community, the SEPA Instant Credit Transfer scheme can be a success and profoundly change payments as we know them.",clearing and settlement; innovation; instant payments; pan-European
,2017,State of play of mobile money on the African continent: An interview with Greg Reeve,"‘Mobile money’ is a generic term for the ability to deliver various financial services to customers via mobile device. More than half a billion mobile money accounts were registered as of the end of 2016, with more than 170 million active accounts around the globe. People can use a mobile money account to receive their salary payment, purchase their electricity and water, buy groceries, transfer money to people they owe, pay their bills, move money to a savings account, and if required, access the money as cash. There is good progress across Africa, led by Safaricom with M-Pesa who, in their financial year 2016–2017 results, reported 19 million active subscribers, with ten transactions per customer per month. The most critical point to recognise is that each market is different. Mobile money has for the most part been an initiative led by the mobile phone operators. Recently however, banks are providing similar looking services. In this interview, Greg Reeve, Founding Partner of Mobile Finance Experts (MFX), discusses the development of mobile money on the African continent.",Africa; M-Pesa; MFX; Safaricom; banks; mobile money; mobile money transitions; mobile operators
,2017,Mitigating cyber risks through information sharing,"The financial services sector has come a long way since the days of handwritten receipts and volumes of general ledger books. Paper has been replaced by bytes of data residing in corporate PCs and data centre servers. Malicious actors no longer arrive through the front doors of a financial institution to steal; rather, they leverage technology to identify and exploit vulnerabilities to attack people and machines to steal confidential information and line their own pockets. The increase of cyber attacks and regulatory cyber security requirements, combined with the limited resources of smaller institutions has created an opportunity for such institutions to proactively remediate threats before they can do harm. This paper shows how information sharing among a community of nearly 7,000 participants has proven to be a vital component in an institution’s information security management system and can enable an institution to adhere to regulatory guidelines and strengthen the maturity of its cyber security programme.",Cybersecurity Information Sharing Act 2015; Financial Services Information Sharing and Analysis Center; Sheltered Harbor; banking regulations; compliance; cyber attacks; cyber security; information security management system; information sharing
,2017,Blockchain and payment systems: What are the benefits and costs?,"The discussions of how blockchain technologies (blocktech) will disintermediate or transform the payments business continue. To date, the discussion has largely focused on the possibility that, in the near future, the technology could enable a nominally priced, frictionless value transfer process. An examination of the benefits and costs indicates that, at the current level of maturity of technology and legal frameworks, blocktech is not superior to existing mechanisms, except in certain niche circumstances. This, coupled with the lack of viral adoption characterising recent successful adaptations (eg Facebook), indicate that major breakthroughs are required before there is wide adoption of this new paradigm in payment systems.",Bitcoin; blockchain; blocktech; cryptocurrency; digital ledger; payment system
,2017,FinTech and the evolving payment landscape,"This paper analyses systematic innovation in financial technology (FinTech) — that is, innovation where the benefits of the innovation increase disproportionately with the use and diffusion of said innovation, and where most of the benefits are external to the particular innovator of the product or process and accrue to a wide range of users and uses. In particular, the study explores the pattern of innovation diffusion as a result of using multi-party integration needs/solutions. The study provides useful implications to support FinTech diffusion in the banking industry.",FinTech; banking industry; innovation diffusion; systematic innovation
,2017,The Internet of Things and the opportunity for payments,"The Internet of Things (IoT) will have a significant impact on many industries, from manufacturing to health and insurance. At first glance, the IoT’s impact on banking is less obvious. And yet, its potential for banking, and for the payments industry in particular, is significant. As devices and entire platforms (eg cars) connect to the internet, they become conduits for commerce transactions and require payments capability. The IoT will change how commerce and transactions are conducted, and in turn will require changes in payments. This paper analyses the impact of the IoT on payments and banking. It discusses the opportunities and challenges the IoT evolution presents to the payments industry, and provides examples of how the payments industry is preparing to capture the IoT opportunity.",Internet of Things (IoT); authentication; commerce orchestration; payments; tokenisation
,2017,The future of digital retail payments in Europe: A place for digital cash?,"This paper provides a perspective on the potential for central bank issued digital cash as a complementary retail payment tool for Europe. The research approach begins with a comparison of different types of money and their respective characteristics, including both traditional forms of money and private digital currencies such as Bitcoin. Against this backdrop and as an extension of the European Central Bank’s categorisation of forms of central bank issued cash, the paper elaborates the case for a central bank issued digital cash equivalent, labelled ‘d-cash’. Key questions ranging from the involvement of banks and non-bank payment service providers, to anonymity versus transparency and the role for consumer protection in d-cash are discussed. Following this theoretical analysis, the paper provides an overview of the current evolution of retail payments in Europe. The combination of infrastructure enhancements, regulatory change and technological innovations is poised to deliver more innovative services and bring more competition into the payments space. Depending on how these changes unfold over the coming years, European retail payments may be able to stand the competition with private digital currencies when it comes to payments. However, in the context of the substantial cash usage in Europe, which represents significant costs to society, the idea of introducing d-cash should be explored further.",PSD2; SEPA Instant Payments; central bank issued digital money; distributed ledger technology; money; payment innovation; private digital currencies
,2017,Can India get to 25 billion retail digital transactions in 2017–18?,"The government of India has set a target of 25 billion retail digital transactions for the year 2017–18 and is pushing all agencies to work towards this goal. This is an ambitious goal when one considers that India had only 9.6 billion retail digital transactions in the year 2016–17. This paper examines the last 10 years of payment system data to establish trends and identify when India is likely to reach this target of 25 billion retail digital transactions. It also examines where India stands on the Rogers diffusion innovation curve with regard to the adoption of digital payments. Drawing on statistics from the Committee on Payments and Market Infrastructures, the paper discusses aspects that support the adoption of digital payments. It then proposes strategies for how India could meet the government’s goal more quickly, including pricing decisions, reducing taxation, widening access and tapping specific market segments. While this paper focuses on India, the strategies are applicable to any developing country interested in strengthening digital payments.",CPMI statistics; Immediate Payment System; India; digital ID (AADHAAR) based payments; digital payments; national automated clearing house; retail payments
,2017,Payment trends and developments in the Western Balkan countries: An interview with Aleksandar Birovljev,"The Western Balkan region — comprising Albania and five former Yugoslav republics — represents an emerging market for payments. Current cashless payments volumes are low and there is significant potential for the development of electronic payments. Although the six different economic and administrative areas have different potential for growth, there are many similarities between these markets, as well as a historic interconnection between their economies and business. Once businesses start to grow beyond their national borders, their expansion into neighbouring countries will be facilitated by the similar language and the interconnectivity of these markets. Cash is still king in the Western Balkans. However, the number of non-cash transactions is slowly growing. A major challenge for online payments in the Western Balkan countries relates to the high costs for processing transactions — card assessment fees are up to four times higher than in the EU. Central banks have announced plans to align domestic policies with EU regulations, such as the Interchange Regulation and PDS2, which could lead to market liberalisation and lower transaction costs.",FinConf 2017; Western Balkans; banks; cashless payments; e-commerce; fraud
,2017,The value of mobile ticketing from a public transport perspective,"Within the field of mobile payments, the market segment for mobile ticketing services is expected to grow, driven by the public transport sector. Although a large number of studies have explored the value of mobile payments to customers (ie service end users), there is a lack of research exploring the value of mobile payment and mobile ticketing for business customers (ie transport companies and retailers). This paper aims to address this gap and to explore the kinds of value that mobile ticketing services create for public transport companies. The research considers mobile ticketing services in six Northern European countries. The research findings suggest that within the business-to-business context, mobile ticketing services create multiple dimensions of value, namely enhanced technical functionality; financial value; better working environment; operational value; and reputational and customer relationship value. For passengers, meanwhile, value takes the form of convenience and service enhancement. These benefits are factors driving adoption of mobile ticketing and mobile payment services by public transport companies.",benefits; mobile payments; mobile ticketing; value
,2017,Evolution of digital payments: Early learnings from Singapore’s cashless payment drive,"This paper discusses the digital payment scenario unfolding in Singapore as the country’s government ponders the tremendous leap made by China in the digital payment space. The paper discusses possible key factors contributing to the success of digital payments in China, such as the success of WeChat, and whether this could be replicated in a country like Singapore. Although China and Singapore are vastly different in size, they share many similarities, including a strong one-party government which is actively involved in the direction and growth of the economy. Both countries share similar cultural and social influences including materialism, IT adoption and an emphasis on education. This paper focuses on small-value payments, which often represent the last mile in the evolution towards a fully cashless society. Using a comparison between China and Singapore, the paper considers those factors critical for the adoption of cashless payments, such as merchant discount rates, critical mass, point-of-sale interfaces, mass transit cards, consumer behaviour and government policies.",China; QR code; Singapore; WeChat; cashless payments; digital payment evolution; mass transit payment; small-value payments
,2017,The macroeconomic impact of payment cards,"This paper focuses on the macroeconomic benefits of the transition from paper-based to electronic payments, examining the impact of payments using debit and credit cards on household consumption. The empirical model is based on the work of Zandi et al.1, with a considerably richer dataset in terms of the number of years and countries. The results confirm that the use of payment cards has a positive impact on private consumption and gross domestic product (GDP), while finding a meaningful effect for both consumption and GDP — and a larger impact for both than found by Zandi et al. The analysis indicates that the transition to electronic payments matters for both the economy as a whole ( for GDP) and for individual families (through higher consumption). Overall, card penetration contributed to global GDP by an annual average of 0.243 percentage points, which translates into US$160bn per year. The contribution of card usage to global income approximately amounts to the 2014 GDP of Kuwait, and is slightly lower than the 2014 GDP of Bangladesh and Vietnam (US$183bn and US$185bn, respectively) and slightly higher than the 2014 GDP of Hungary and Ukraine (US$136bn and US$130bn, respectively).",consumption; credit card; debit card; economic growth; electronic payments; savings
,2017,Continuous and smooth access to payment systems for banks in resolution,"One of the main objectives of resolution authorities is to ensure, to the maximum extent possible, the continuity of critical functions for a firm in resolution. The continuity of critical functions, in most cases, requires continuous access to the clearing, payment and settlement services that underpin them. This paper focuses on payments-specific aspects deriving from experience gained in relation to bank resolution in Italy. Drawing on these events, the paper shares some lessons learned with respect to ensuring continuity of access to payment systems in the resolution phase, proposes some practical approaches to reducing operational risk during the resolution phase, and highlights some areas for improvements with possible follow-up actions.",BRRD; banks; continuity; overseers; payments; resolution
,2017,Cash management in transition: From cash management to cash process management,"Cash management plays a major role for global enterprises. Liquidity requirements, interest costs, currency risks and transactional costs are just some of the issues for these companies. This paper presents the results of a survey on the current state of cash management conducted in 32 large European enterprises. The survey analyses the maturity of the companies’ cash processes and reveals that the majority of these enterprises are on the same road: they centralise, standardise and automate their cash processes. Furthermore, they implement payment factories and in-house banks and make extensive use of cash pooling services. Consequently, they are now substantially reducing the number of servicing banks and bank accounts. As a result, local banks will largely be replaced by just a few major banks operating worldwide. In addition, global enterprises are facing a transition toward digital payments at the retail customer interface. The survey shows that their payment processes on the sales front are still mainly based on local subsidiaries or regional sales organisations. In the near future, however, these enterprises will have to offer digital payments across all available sales channels. Thus, integration of digital payments into global cash processes is a mandatory requirement and a further challenge not only for the enterprises, but also for major banks and FinTech companies acting in this field.",cash management; cash pooling; cash process; digital payments; in-house bank; payment factory
,2017,The road to an open innovation platform: Making the most of BOJ-NET,"With a focus on the Bank of Japan Financial Network System (BOJ-NET), this paper examines the possible paths toward an open innovation platform, and discusses initiatives that seek to understand and use the core payment systems and payment service systems in Japan. The Bank of Japan and settlement service operators have worked to revise designated-time net settlement for domestic exchange settlement as well as foreign exchange settlement to introduce deliveryversus- payment for the settlement of Japanese government bonds, corporate bonds and mutual funds. The shortening of the settlement period for Japanese government bonds and other changes are expected in the future.",BOJ-NET; Japanese government bond; designated-time net settlement; funds transfer system; payment services; payment systems
2-s2.0-85064214950,2018,The advent of machine payments: The right way to pay?,"As the Internet of Things and distributed ledger technology (DLT) continue to evolve, so do questions regarding the future of ‘autonomous’ machine-to-machine (M2M) payments. For example, whether machines can carry out autonomous payments, how they could carry out such payments, and indeed whether they should are all points worth consideration. While autonomous machines are often depicted as frightening images of a dystopian future, it is worth noting that M2M payments are already being implemented in closed-loop systems where payments such as road tolls are made ‘on behalf ’ of the consumer. DLT-based approaches, however, remain proprietary and without any proven real-world use case, while genuinely autonomous M2M payments still belong to the world of science fiction. This opinion piece discusses M2M payments from three perspectives: the legal point of view, the functional implementation of payment systems, and the social context. Specifically, it considers the declaration of will, DLT-based proprietary M2M payments, and whether people will be willing to let robots make autonomous decisions, including payments. © Henry Stewart Publications.",Autonomous agents; Contract law; Distributed ledger technology; Internet of Things; Machine-to-machine (M2M) payments
2-s2.0-85064181632,2018,Target instant payment settlement: The eurosystem’s response to an evolving payments landscape,"This paper deals with the TARGET Instant Payment Settlement (TIPS) service, a Eurosystem market infrastructure service that facilitates the immediate settlement of instant payments at pan-European level using central bank money. The service stands to regenerate competitiveness in the European market by acting as an incentive for payment service providers to develop TIPS-enabled innovative and user-friendly solutions for European citizens. The paper recommends that payment service providers embrace TIPS and develop solutions that are not only future-proof but that also allow consumers to use them at pan-European level. © Henry Stewart Publications.",European Central Bank (ECB); Eurosystem; Innovation; Instant payments; TARGET Instant Payment Settlement (TIPS); TARGET Services
2-s2.0-85064167086,2018,Supporting the smooth uptake of instant payments: Pan-european infrastructure principles revisited and checked against the live RT1 system,"In November 2017, the Single Euro Payments Area (SEPA) witnessed the introduction of real-time euro payments following the launch of the European Payments Council’s SEPA Instant Credit Transfer scheme and the first systems capable of processing instant payments. In preparation for this major date, which also saw its own instant payment platform, RT1, go live, EBA CLEARING published a white paper on pan-European infrastructure considerations. The paper focused on crucial drivers of success for instant payments and how they could best be supported in the infrastructure layer. A year after the publication of this paper, the company revisited these drivers, as well as the elements, processes and arrangements it had implemented at the level of its RT1 system in order to support them. The aim was to determine whether these measures had contributed to the uptake and smooth day-to-day processing of instant payments. The present paper provides a summary of this reality check. © Henry Stewart Publications.",Erwin Kulk; Instant payments; Pan-European; Real-time payments; RT1; SCT Inst; SEPA
2-s2.0-85064163108,2018,Understanding the benefits of SWIFT gpi for corporates,"Within the world of payments, progress with SWIFT’s global payments innovation (SWIFT gpi) initiative — particularly how the benefits are now being realised by multi-banked corporates — has become a topic of significant interest. While SWIFT gpi is already a well-known success story in the payments industry, little has been discussed about the new SWIFT gpi for corporates (g4C) solution.This paper provides further background on Deutsche Bank’s work on this solution, in addition to a summary of Roche’s practical suggestions for other treasury departments that are looking to reap the benefits of this new industry standard. © Henry Stewart Publications.",Cross-border payments; Instant payments; SWIFT gpi; Treasury management systems
2-s2.0-85064161879,2018,Digital transformation in Japan’s banking industry,"The emergence of digital has brought massive change to both the demand (consumer) side of financial services as well as the supply side (finan-cial institutions). Financial institutions must not only understand these developments but also the work required to find new business models and IT solutions to manage them. When it comes to such modernisation projects, this paper advocates the following: (1) watch the market vigilantly; (2) focus on the customer experience; (3) bring flexibility to investments; (4) ensure digitisation contributes to increased revenue; and (5) formulate a roadmap focused on essential concrete resources and know-how rather than vague ideas of functionality that would be nice to have. © Henry Stewart Publications.",Banking industry paradigm; Customer expectations; Digital era; Frictionless processes; Modular core banking; Regulation
2-s2.0-85064160511,2018,An open banking ecosystem to survive the revised payment services directive: Connecting international banks and fintechs with the CBI globe platform,"The payment services market is evolving at an accelerating rate, driven by continuous technological innovations and major legislative developments. One such piece of legislation is the revised Payment Services Directive (PSD2), which intends to further define a common legal framework for the payment market in the European Economic Area, with the aim of increasing the level of integration and efficiency in the market, as well as increasing the level of consumer protection. In this context, the enhancement of collaborative infrastructures can be the keystone to anticipate and transform the challenges of PSD2 into opportunities. This paper describes the creation of an open banking platform, called CBI Globe — Global Open Banking Ecosystem, to facilitate the interconnection between banks and third parties through application programming interfaces, in line with the new directive. Using this platform, adhering parties will be able to simplify and expedite the administration of current accounts by offering both reporting and payment and collection services, thus exploiting the business opportunities enabled by PSD2. © Henry Stewart Publications.",APIs; Berlin Group; CBI Globe; FinTechs; Open banking; PSD2; RegTech; TPP
